# 2003 081 13:15:05 1.0025 03081131505 11320000 010000 60C3104 01121 120 908 4151 324 002 1229
#            Time      Freq     Range  Polarize     Noise   Doppler        Az        Zn  Ampltude     Phase
2003 081 13:15:05    1.0025   375.000   -90.000    12.000     6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   380.000   -90.000    12.000     6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   385.000   -90.000    12.000     6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   390.000   -90.000    12.000     6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   395.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   400.000   -90.000    12.000    -4.688     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   405.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   410.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   415.000   -90.000    12.000    -4.688     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   420.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   425.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   430.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   435.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   440.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   445.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   450.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   455.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   460.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   465.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   470.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   475.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   480.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   485.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   490.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   495.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   500.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   505.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   510.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   515.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   520.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   525.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   530.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   535.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   540.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   545.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   550.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   555.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   560.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   565.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   570.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   575.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   580.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   585.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   590.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   595.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   600.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   605.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   610.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   615.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   620.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   625.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   630.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   635.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   640.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   645.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   650.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   655.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   660.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   665.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   670.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   675.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   680.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   685.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   690.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   695.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
 
#            Time      Freq     Range  Polarize     Noise   Doppler        Az        Zn  Ampltude     Phase
2003 081 13:15:05    1.1225    60.000   -90.000    12.000    -6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225    65.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225    70.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225    75.000   -90.000    12.000    -6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225    80.000   -90.000    12.000    -1.562     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225    85.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225    90.000   -90.000    12.000    -6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225    95.000   -90.000    12.000    -6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   100.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   105.000   -90.000    12.000    -1.562     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   110.000   -90.000    12.000    -1.562     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   115.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   120.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   125.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   130.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   135.000   -90.000    12.000    -3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   140.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   145.000   -90.000    12.000     6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   150.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   155.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   160.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   165.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   170.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   175.000   -90.000    12.000     6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   180.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   185.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   190.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   195.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   200.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   205.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   210.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   215.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   220.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   225.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   230.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   235.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   240.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   245.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   250.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   255.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   260.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   265.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   270.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   275.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   280.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   285.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   290.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   295.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   300.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   305.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   310.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   315.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   320.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   325.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   330.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   335.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   340.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
